Name,Location,Price
"SİMA YAPI DA FIRSAT DOUBLEX 3+2 KÖŞE BİNA TERASLI LÜX DAİRE
            ","['Esenyurt', ' İstanbul']",1.550.000 TL
"Bayramoğlu Ada'da Geniş Teraslı Daire
            ","['Darıca', ' Kocaeli']",3.250.000 TL
"PRESTİJ'DEN CUMHURİYET'TE GENİŞ OTURUMLU 3+1 DAİRE
            ","['Yenişehir', ' Mersin']",1.530.000 TL
"YÜKSEL DEN AKÇAY'DA GÖZ ALICI TASARIMIYLA ÖN CEPHE 2+1 DAİRE
            ","['Edremit', ' Balıkesir']",2.150.000 TL
"ALANYA OBA DA AKTİVİTELİ SİTE DE LÜX EŞYALI SATILIK 3+1 DAİRE
            ","['Alanya', ' Antalya']",11.970.900 TL
"KOPUZ'DAN NEFES ÇENGELKÖY,BOĞAZ MANZARALI FIRSAT 3+1
            ","['Üsküdar', ' İstanbul']",13.500.000 TL
"BEYLİKDÜZÜ METROBÜSE YAKIN 4+2 SIFIR SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",4.200.000 TL
"KUŞADASI MERKEZDE DENİZ MANZARALI MASRAFSIZ 3+1 DAİRE SATILIK
            ","['Kuşadası', ' Aydın']",3.000.000 TL
"Azad'tan Karocu Kemal Durağı Civarında SATILIK 3+1 DAİRE
            ","[' Merkez', ' Osmaniye']",1.700.000 TL
"BAŞKENT YAPI'DAN BEYLİKDÜZÜ ADNAN KAHVECİDE ŞIK TASARIMLI 2+1
            ","['Beylikdüzü', ' İstanbul']",3.000.000 TL
"DİDİM ÇAMLIK'TA SATILIK 2+1 AYRI MUTFAKLI DAİRE
            ","['Didim', ' Aydın']",1.850.000 TL
"DİLEK EMLAK'TAN PAZAR PAZARI YANI GÜNEY CEPHE 3+1 SATILIK DAİRE.
            ","[' Merkez', ' Niğde']",1.340.000 TL
"ARGA'DAN BUCA GÖKSU MH.İZBAN YAKINI 3+1 SATILIK DAİRE,
            ","['Buca', ' İzmir']",2.300.000 TL
"AKTİFTEN ALTINKUMDA FERAH VE GENİŞ TASARIMIYLA ÖNCEPHE 1+1DAİRE
            ","['Edremit', ' Balıkesir']",1.535.000 TL
"AKTİFTEN AKÇAYDA AYRI MUTFAKLI 3+1ÇİFT BALKONLU MASRAFSIZ DAİRE
            ","['Edremit', ' Balıkesir']",1.399.000 TL
"AKTİFTEN AKÇAYDA DENİZE 400MT YÜKSEK KREDİLİ MASRAFSIZ 2+1DAİRE
            ","['Edremit', ' Balıkesir']",1.490.000 TL
"RETRO'DAN KALİTELİ İŞÇİLİĞİN MODERN TASARIMLA BİRLEŞTİĞİ 3+1
            ","['Mezitli', ' Mersin']",2.650.000 TL
"TRABZON KAŞÜSTÜNDE SATILIK DAİRE
            ","['Yomra', ' Trabzon']",2.100.000 TL
"ACİL KELEPİR ÇOK GENİŞ 1. SINIF FUL EŞYALI 4 CEPHELi ÖNÜ AÇIK
            ","['Konyaaltı', ' Antalya']",5.150.000 TL
"GEZGEN İNŞAAT'TAN KISA KATLI GENİŞ 2+1 SIFIR SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",1.819.999 TL
"ANTALYA MURATPAŞA KIZILARIK 2+1 KATTA LÜKS YAPILI SATILIK DAİRE
            ","['Muratpaşa', ' Antalya']",2.300.000 TL
"HİCRET EMLAKTAN GAYRİMENUL'DEN 2+1 85 M2 KREDİLİ BAHÇE KAT
            ","['Esenler', ' İstanbul']",1.275.000 TL
"Ortahisar 3 Nolu Erdoğdu'da Satılık Daire ( VİDEOLU )
            ","['Ortahisar', ' Trabzon']",1.430.000 TL
"ÇANAKKALE YENİ KORDONA YÜRÜME MESAFESİNDE SİTE İÇİ 3+1 DAİRE
            ","[' Merkez', ' Çanakkale']",2.375.000 TL
"REMAX VİZYON'DAN ACİL SATILIK DENİZ MANZARALI ÇATI DUBLEKS
            ","['Başiskele', ' Kocaeli']",2.650.000 TL
"EDREMİT'İN EN MANZARALI BÖLGESİNDE 3+1 DAİRE
            ","['Edremit', ' Balıkesir']",2.100.000 TL
"ÇİĞLİ ATAŞEHİR'DE USTAOĞLU SİTESİN'DE SATILIK 3+1 DAİRE
            ","['Çiğli', ' İzmir']",6.650.000 TL
"ELİA DAN ÖN CEPHE AYRİ MUTFAK MASRAFSİZ 2+1 YÜKSEK GİRİS SATILIK
            ","['Edremit', ' Balıkesir']",2.150.000 TL
"ARNAVUTKÖY / ANADOLU MAH./ DUBLEX / SATILIK 3+2 / 2 GİRİŞLİ
            ","['Arnavutköy', ' İstanbul']",2.500.000 TL
"MERKEZKENT 2+1 KONFORLU DAİRE BAHÇELİŞEHİRLER'DE !!
            ","[' Merkez', ' Kastamonu']",1.300.000 TL
"AKTAŞ EMLKTAN DREBAHÇE'DE SATILIK ULTRA LÜKS DAİRE
            ","['İlkadım', ' Samsun']",2.750.000 TL
"ERDEMLI ALATA DA HAVUZLU AMERIKAN MUTFAKLI 3+1 SATILIK DAIRE
            ","['Erdemli', ' Mersin']",2.800.000 TL
"AYVALIK'DA FIRSAT FİYATA FERAH DAİRE!!
            ","['Ayvalık', ' Balıkesir']",6.400.000 TL
"Bornova narova 2 Eşyalı Satılık Daire 3+1
            ","['Bornova', ' İzmir']",6.500.000 TL
"Karacabey Yeniköyde Havuzlu Sitede2+1 Oturmaya Hazır Sıfır Daire
            ","['Karacabey', ' Bursa']",2.000.000 TL
"AYDIN Umurlu Mahallesinde Satılık 2+1 Lüks Daire
            ","['Efeler', ' Aydın']",2.000.000 TL
"AYGÜLDEN EDREMİT TE SIFIR DOĞALGAZLI OTOPARKLI 3+1SATILIK DUBLEX
            ","['Edremit', ' Balıkesir']",5.850.000 TL
"Doğan Emlak 'tan Ortadağda Satılık 3+1 Geniş ve Ön Daire
            ","['Sancaktepe', ' İstanbul']",3.300.000 TL
"YILDIRIM DAVUTDEDE'DE CADDE ÜZERİNDE SATILIK DAİRE !
            ","['Yıldırım', ' Bursa']",1.000.000 TL
"MAS YAPI ' DAN  2+1  FULL DEKOR MUHTEŞEM FIRSAT DAİRE !!
            ","['Esenyurt', ' İstanbul']",885.000 TL
"GİRNE LAPTA'DA FIRSAT FİYATLI HAVUZLU SİTEDE TAŞINMAYA HAZIR 2+1
            ","['Girne', ' K.K.T.C']",2.384.800 TL
"Artı Gayrimenkul'den Enhoşlar'da 2+1 Yüksek giriş Daire
            ","['Buca', ' İzmir']",1.455.000 TL
"AKÇABURGAZDA 2+1 0,69 ORANI İLE %100 KREDİYE UYGUN SATILIK DAİRE
            ","['Esenyurt', ' İstanbul']",1.749.000 TL
"TEK YETKİLİ! SİTE İÇERİSİNDE KREDİYE UYGUN CADDE ÜZERİNDE DAİRE
            ","['Sancaktepe', ' İstanbul']",3.750.000 TL
"İzmir Bostanlı da Nezih Sokakta Yatırımlık Daire
            ","['Karşıyaka', ' İzmir']",2.500.000 TL
"ASLI EMLAKTAN Ünye Saraçlı'da Satılık FIRSAT BİNA
            ","['Ünye', ' Ordu']",6.250.000 TL
"TRABZON ARAKLI MERKEZ'DE SATILIK 3+1 DOĞALGAZLI DAİRE
            ","['Araklı', ' Trabzon']",1.115.000 TL
"YETİŞEN ALIYOR !! 2+1 SIFIR SATILIK YEŞİLTEPEDE SON DAİRE
            ","['Ortahisar', ' Trabzon']",875.000 TL
"KONYAALTI UNCALI MAHAALLESİ SİTE İÇİNDE SATILIK 3+1 DAİRE
            ","['Konyaaltı', ' Antalya']",5.250.000 TL
"KIZILAY KÜLTÜR MAHALLESİ YÜKSEL CADDESNDE 3+1 KOMBİLİ DAİRE
            ","['Çankaya', ' Ankara']",2.250.000 TL
"ÜMRANİYE-NECİP FAZIL MAH. ALYA ELİT SİTESİ BOŞ 3+1 SATILIK DAİRE
            ","['Ümraniye', ' İstanbul']",6.450.000 TL
"BEYLİKDÜZÜ CUMHURİYET'TE 2+1 ULAŞIMA YAKIN SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",1.150.000 TL
"Çınarcık Teşvikiye Bld. (Karşıyaka)'da Satılık Daire
            ","['Çınarcık', ' Yalova']",1.200.000 TL
"UZMANLAR G.Y.D.FIRSAT ELVAN MAH.DE MÜKEMMEL KONUMDA 3+1 DAİRE
            ","['Etimesgut', ' Ankara']",1.400.000 TL
"BEYLİKDÜZÜ KAVAKLI'DA MARİNA'YA YAKIN 3+1 SIFIR SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",1.370.000 TL
